name,armed robbery,car theft,snatch theft,minor injuries,robbery,serious injuries,theft,vandalism,date
complaint 128,0,1,0,1,3,0,2,0,22/03/2014
complaint 129,0,2,0,1,2,0,2,0,08/11/2020
complaint 130,0,2,0,1,3,0,3,0,16/01/2015
complaint 131,0,2,0,2,2,0,3,0,24/09/2012
complaint 132,0,2,0,2,1,0,1,0,09/12/2010
complaint 133,0,2,0,1,2,0,2,0,07/10/2014
complaint 134,0,2,0,1,3,0,2,0,25/10/2018
complaint 135,0,2,0,2,1,0,3,0,08/02/2016
complaint 136,0,1,0,1,2,0,2,0,21/05/2011
complaint 137,0,2,0,1,3,0,2,0,26/04/2012
complaint 138,0,1,0,2,1,0,2,0,07/05/2014
complaint 139,0,2,0,1,1,0,1,0,13/04/2021
complaint 140,0,2,0,1,2,0,1,0,28/04/2016
complaint 141,0,2,0,1,3,0,1,0,08/12/2012
complaint 142,0,1,0,2,3,0,2,0,12/12/2010
complaint 143,0,1,0,1,2,0,3,0,10/10/2016
complaint 144,0,1,0,1,1,0,1,0,18/04/2020
complaint 145,0,2,0,1,2,0,1,0,08/06/2014
complaint 146,0,2,0,2,1,0,3,0,01/08/2016
complaint 147,0,1,0,2,2,0,3,0,02/11/2019
complaint 148,0,1,0,2,1,0,3,0,14/06/2021
complaint 149,0,2,0,2,2,0,1,0,23/10/2015
complaint 150,0,2,0,1,2,0,3,0,03/02/2011
complaint 151,0,2,0,1,1,0,1,0,23/06/2017
complaint 152,0,2,0,2,3,0,1,0,03/03/2011
complaint 153,0,1,0,2,1,0,3,0,16/02/2015
complaint 154,0,2,0,1,3,0,1,0,09/07/2017
complaint 155,0,1,0,2,1,0,3,0,24/01/2013
complaint 156,0,2,0,2,1,0,1,0,01/10/2014
complaint 157,0,2,0,2,2,0,3,0,09/07/2017
complaint 158,0,1,0,1,2,0,1,0,11/03/2014
complaint 159,0,1,0,1,2,0,2,0,10/05/2015
complaint 160,0,1,0,1,2,0,2,0,16/11/2020
complaint 161,0,2,0,1,3,0,1,0,21/09/2011
complaint 162,0,2,0,1,3,0,1,0,24/03/2015
complaint 163,0,2,0,1,3,0,2,0,20/08/2011
complaint 164,0,1,0,2,3,0,2,0,19/03/2020
complaint 165,0,2,0,2,2,0,1,0,25/06/2014
complaint 166,0,1,0,1,2,0,2,0,02/08/2019
complaint 167,0,2,0,2,1,0,2,0,07/07/2016
complaint 168,0,2,0,1,2,0,1,0,17/06/2021
complaint 169,0,2,0,1,2,0,3,0,22/10/2010
complaint 170,0,1,0,2,2,0,1,0,02/07/2013
complaint 171,0,2,0,1,1,0,2,0,24/04/2016
complaint 172,0,1,0,1,3,0,1,0,21/03/2017
complaint 173,0,1,0,2,2,0,3,0,03/12/2018
complaint 174,0,1,0,1,1,0,3,0,03/02/2016
complaint 175,0,2,0,1,3,0,3,0,03/08/2020
complaint 176,0,1,0,1,3,0,3,0,29/07/2016
complaint 177,0,2,0,2,2,0,3,0,24/04/2012
complaint 178,0,1,0,1,3,0,2,0,14/07/2011
complaint 179,0,2,0,2,2,0,2,0,29/10/2011
complaint 180,0,1,0,1,1,0,2,0,10/02/2015
complaint 181,0,2,0,1,2,0,1,0,19/01/2014
complaint 182,0,1,0,1,3,0,3,0,19/05/2018
complaint 183,0,1,0,1,1,0,2,0,20/07/2019
complaint 184,0,1,0,1,2,0,1,0,17/05/2019
complaint 185,0,2,0,2,3,0,2,0,17/04/2013
complaint 186,0,2,0,2,3,0,1,0,08/07/2016
complaint 187,0,1,0,1,1,0,2,0,02/11/2017
complaint 188,0,2,0,2,1,0,1,0,24/05/2014
complaint 189,0,1,0,2,2,0,2,0,15/10/2014
complaint 190,0,1,0,2,1,0,2,0,28/02/2011
complaint 191,0,1,0,1,1,0,1,0,15/05/2014
complaint 192,0,2,0,2,1,0,2,0,20/04/2018
complaint 193,0,2,0,1,2,0,1,0,10/12/2018
complaint 194,0,2,0,2,3,0,2,0,04/12/2010
complaint 195,0,1,0,2,1,0,2,0,20/01/2017
complaint 196,0,1,0,2,1,0,2,0,14/03/2014
complaint 197,0,1,0,2,2,0,2,0,11/12/2020
complaint 198,0,2,0,1,2,0,1,0,02/06/2021
complaint 199,0,1,0,2,1,0,1,0,26/08/2014
complaint 200,0,1,0,1,1,0,1,0,07/01/2012
complaint 201,0,1,0,1,1,0,1,0,03/04/2016
complaint 202,0,1,0,2,1,0,2,0,15/09/2012
complaint 203,0,1,0,2,1,0,3,0,13/08/2014
complaint 204,0,1,0,2,3,0,3,0,09/02/2020
complaint 205,0,2,0,1,1,0,1,0,01/03/2017
complaint 206,0,1,0,1,3,0,2,0,25/12/2016
complaint 207,0,1,0,1,1,0,1,0,01/07/2020
complaint 208,0,2,0,2,3,0,2,0,20/03/2020
complaint 209,0,1,0,1,3,0,1,0,08/04/2018
complaint 210,0,2,0,2,3,0,3,0,11/10/2019
complaint 211,0,2,0,2,2,0,1,0,14/10/2013
complaint 212,0,2,0,2,2,0,1,0,06/01/2014
complaint 213,0,2,0,1,2,0,3,0,29/08/2020
complaint 214,0,2,0,1,1,0,1,0,30/06/2013
complaint 215,0,1,0,2,1,0,3,0,16/01/2016
complaint 216,0,1,0,2,3,0,1,0,15/08/2018
complaint 217,0,2,0,2,2,0,1,0,24/10/2018
complaint 218,0,1,0,2,1,0,3,0,11/05/2021
complaint 219,0,2,0,2,2,0,2,0,11/11/2017
complaint 220,0,1,0,1,3,0,1,0,12/11/2015
complaint 221,0,2,0,2,3,0,2,0,09/03/2011
complaint 222,0,1,0,2,1,0,2,0,18/06/2013
complaint 223,0,2,0,2,2,0,1,0,26/10/2021
complaint 224,0,1,0,1,2,0,2,0,13/04/2016
complaint 225,0,1,0,1,3,0,2,0,28/09/2016
complaint 226,0,2,0,2,2,0,2,0,01/04/2017
complaint 227,0,1,0,2,3,0,1,0,03/06/2010
complaint 228,0,2,0,1,2,0,2,0,10/04/2011
complaint 229,0,2,0,1,1,0,1,0,30/12/2021
complaint 230,0,1,0,1,1,0,1,0,03/01/2020
complaint 231,0,2,0,1,3,0,3,0,08/10/2018
complaint 232,0,2,0,2,1,0,2,0,27/01/2012
complaint 233,0,1,0,1,2,0,1,0,05/10/2017
complaint 234,0,1,0,2,1,0,3,0,04/09/2017
complaint 235,0,2,0,1,3,0,2,0,06/02/2014
complaint 236,0,1,0,1,1,0,2,0,09/04/2020
complaint 237,0,2,0,1,3,0,2,0,19/10/2013
complaint 238,0,2,0,1,1,0,3,0,05/04/2012
complaint 239,0,2,0,1,1,0,1,0,12/08/2018
complaint 240,0,1,0,2,2,0,1,0,26/12/2010
complaint 241,0,1,0,2,2,0,2,0,13/03/2010
complaint 242,0,2,0,1,1,0,3,0,04/07/2012
complaint 243,0,1,0,1,1,0,1,0,30/08/2011
complaint 244,0,2,0,1,1,0,2,0,18/10/2021
complaint 245,0,1,0,2,2,0,2,0,24/06/2017
complaint 246,0,1,0,1,2,0,3,0,20/03/2010
complaint 247,0,1,0,2,2,0,1,0,10/06/2021
complaint 248,0,1,0,2,3,0,1,0,18/02/2012
complaint 249,0,1,0,1,2,0,3,0,26/06/2013
complaint 250,0,2,0,1,2,0,2,0,10/04/2011
complaint 251,0,1,0,2,1,0,2,0,21/08/2011
complaint 252,0,1,0,1,1,0,2,0,08/05/2011
complaint 253,0,2,0,1,3,0,2,0,01/09/2011
complaint 254,0,2,0,2,2,0,3,0,04/09/2017
complaint 255,0,1,0,1,2,0,3,0,02/12/2018
complaint 256,0,1,0,2,3,0,3,0,31/05/2015
complaint 257,0,1,0,2,2,0,3,0,28/06/2012
complaint 258,0,2,0,2,1,0,3,0,12/02/2012
complaint 259,0,2,0,1,2,0,2,0,28/04/2011
complaint 260,0,2,0,2,2,0,1,0,23/12/2020
complaint 261,0,2,0,1,2,0,2,0,13/02/2019
complaint 262,0,2,0,1,1,0,3,0,03/10/2013
complaint 263,0,1,0,1,2,0,3,0,29/08/2010
complaint 264,0,2,0,2,2,0,2,0,14/10/2015
complaint 265,0,1,0,2,1,0,1,0,27/11/2020
complaint 266,0,2,0,1,1,0,1,0,26/07/2011
complaint 267,0,2,0,1,1,0,2,0,16/08/2019
complaint 268,0,1,0,1,3,0,3,0,08/02/2012
complaint 269,0,1,0,2,2,0,1,0,03/12/2018
complaint 270,0,2,0,1,3,0,1,0,07/09/2016
complaint 271,0,1,0,2,1,0,2,0,26/06/2014
complaint 272,0,2,0,1,1,0,3,0,29/04/2013
complaint 273,0,1,0,2,3,0,1,0,02/04/2016
complaint 274,0,1,0,1,2,0,2,0,11/09/2016
complaint 275,0,1,0,2,1,0,1,0,29/06/2016
complaint 276,0,1,0,2,2,0,3,0,11/06/2010
complaint 277,0,1,0,2,1,0,3,0,12/06/2011
complaint 278,0,2,0,2,3,0,3,0,03/12/2012
complaint 279,0,1,0,2,2,0,2,0,23/04/2019
complaint 280,0,1,0,1,2,0,3,0,20/02/2013
complaint 281,0,1,0,2,1,0,3,0,20/01/2011
complaint 282,0,2,0,1,1,0,2,0,23/07/2011
complaint 283,0,2,0,2,2,0,3,0,26/04/2015
complaint 284,0,1,0,1,2,0,2,0,02/01/2012
complaint 285,0,2,0,2,2,0,1,0,24/05/2012
complaint 286,0,2,0,2,2,0,1,0,02/05/2017
complaint 287,0,1,0,1,3,0,3,0,22/07/2013
complaint 288,0,1,0,1,2,0,2,0,06/12/2019
complaint 289,0,2,0,2,1,0,3,0,23/01/2017
complaint 290,0,1,0,1,3,0,1,0,10/03/2010
complaint 291,0,2,0,1,3,0,3,0,06/10/2015
complaint 292,0,2,0,2,3,0,2,0,27/06/2021
complaint 293,0,2,0,1,2,0,3,0,28/01/2017
complaint 294,0,2,0,2,3,0,1,0,03/05/2016
complaint 295,0,1,0,1,1,0,3,0,20/03/2018
complaint 296,0,1,0,2,1,0,2,0,10/08/2016
complaint 297,0,2,0,2,2,0,2,0,16/11/2020
complaint 298,0,2,0,1,1,0,1,0,02/03/2021
complaint 299,0,1,0,2,3,0,1,0,10/06/2011
complaint 300,0,2,0,1,1,0,3,0,17/04/2017
complaint 301,0,2,0,1,3,0,3,0,05/04/2010
complaint 302,0,1,0,2,3,0,3,0,16/12/2012
complaint 303,0,2,0,2,1,0,2,0,24/02/2015
complaint 304,0,1,0,2,2,0,2,0,21/02/2015
complaint 305,0,2,0,2,1,0,3,0,14/01/2015
complaint 306,0,2,0,2,2,0,2,0,13/07/2013
complaint 307,0,2,0,1,2,0,2,0,02/06/2014
complaint 308,0,2,0,2,2,0,3,0,07/11/2012
complaint 309,0,2,0,2,2,0,1,0,27/05/2017
complaint 310,0,2,0,2,3,0,2,0,28/05/2015
complaint 311,0,2,0,2,1,0,1,0,27/03/2012
complaint 312,0,1,0,2,1,0,3,0,03/10/2014
complaint 313,0,1,0,2,2,0,3,0,19/12/2020
complaint 314,0,1,0,2,1,0,2,0,27/10/2010
complaint 315,0,1,0,1,1,0,1,0,09/10/2014
complaint 316,0,2,0,1,1,0,2,0,10/07/2012
complaint 317,0,1,0,1,2,0,3,0,04/04/2014
complaint 318,0,1,0,2,2,0,1,0,12/02/2019
complaint 319,0,2,0,1,2,0,1,0,07/09/2019
complaint 320,0,1,0,2,3,0,2,0,23/09/2021
